session_id,timestamp,email,password,mouse_movements,time_to_submit,honeypot_filled,honeypot_total_length,keystrokes,focus_events,paste_events,email_length,password_length,cookies_enabled,is_attack,attack_type
session_000000,2026-01-31T22:59:33.941068,user0@yahoo.com,***,6,8.41,0,0,35,5,0,15,15,1,0,legitimate
session_000001,2026-01-11T22:59:33.941068,user1@yahoo.com,***,22,18.33,0,0,35,4,0,15,10,1,0,legitimate
session_000002,2026-01-12T22:59:33.941068,user2@yahoo.com,***,48,15.91,0,0,34,9,0,15,14,1,0,legitimate
session_000003,2026-02-01T22:59:33.941068,user3@outlook.com,***,46,4.17,0,0,28,5,0,17,10,1,0,legitimate
session_000004,2026-01-10T22:59:33.941068,user4@company.com,***,31,18.93,0,0,35,6,0,17,12,1,0,legitimate
session_000005,2026-01-30T22:59:33.941068,user5@gmail.com,***,17,15.16,0,0,26,7,0,15,9,1,0,legitimate
session_000006,2026-01-13T22:59:33.941068,bot6@automated.com,botpass6927,0,0.23,1,18,0,0,1,18,11,1,1,bot
session_000007,2026-01-11T22:59:33.942058,user7@outlook.com,***,24,12.73,0,0,29,9,1,17,11,1,0,legitimate
session_000008,2026-01-15T22:59:33.942058,user8@gmail.com,***,26,5.64,0,0,26,9,1,15,10,1,0,legitimate
session_000009,2026-01-10T22:59:33.942058,user9@yahoo.com,***,23,10.97,0,0,32,3,0,15,12,1,0,legitimate
session_000010,2026-01-18T22:59:33.942058,user10@yahoo.com,***,12,12.63,0,0,34,5,0,16,8,1,0,legitimate
session_000011,2026-01-13T22:59:33.942058,' OR 'a'='a,,0,0.96,0,0,20,0,0,11,0,1,1,sql_injection
session_000012,2026-01-29T22:59:33.942058,user12@company.com,***,16,6.07,0,0,29,5,1,18,9,1,0,legitimate
session_000013,2026-01-22T22:59:33.942058,user13@yahoo.com,***,16,12.55,0,0,34,8,0,16,16,1,0,legitimate
session_000014,2026-01-11T22:59:33.942058,user14@yahoo.com,***,40,3.9,0,0,30,7,0,16,10,1,0,legitimate
session_000015,2026-01-18T22:59:33.942058,user15@company.com,***,35,19.3,0,0,44,2,0,18,16,1,0,legitimate
session_000016,2026-01-29T22:59:33.942058,user16@company.com,***,33,8.7,0,0,29,10,0,18,9,1,0,legitimate
session_000017,2026-01-30T22:59:33.942058,user17@company.com,***,26,11.76,0,0,33,5,0,18,15,1,0,legitimate
session_000018,2026-02-05T22:59:33.942058,user18@yahoo.com,***,10,13.39,0,0,29,2,0,16,12,1,0,legitimate
